Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar	Seed
653.3681058883667	44	0.37688443	3.0921638	29.0	0.0	151.0	0.0	0.0024959233	0.0024959233	0.0024959233	0.0024959233	30049	1352205	1
667.4089488983154	45	0.2713568	1.981506	21.0	0.0	151.0	0.0	0.0017970648	0.0017970648	0.0017970648	0.0017970648	30049	1382254	1
681.4642000198364	46	0.4874372	3.5962842	35.0	0.0	151.0	0.0	0.003228061	0.003228061	0.003228061	0.003228061	30049	1412303	1
695.3377048969269	47	0.959799	5.6156983	42.0	0.0	151.0	0.0	0.006356285	0.006356285	0.006356285	0.006356285	30049	1442352	1
709.2937967777252	48	2.4874372	8.994057	51.0	0.0	151.0	0.0	0.016473094	0.016473094	0.016473094	0.016473094	30049	1472401	1
723.0663039684296	49	2.3517587	8.306133	50.0	0.0	151.0	0.0	0.015574561	0.015574561	0.015574561	0.015574561	30049	1502450	1
737.0485687255859	50	3.517588	10.356385	54.0	0.0	151.0	0.0	0.023295285	0.023295285	0.023295285	0.023295285	30049	1532499	1
750.9547529220581	51	2.6432161	9.395195	54.0	0.0	151.0	0.0	0.017504742	0.017504742	0.017504742	0.017504742	30049	1562548	1
764.8848099708557	52	1.839196	7.523783	56.0	0.0	151.0	0.0	0.012180106	0.012180106	0.012180106	0.012180106	30049	1592597	1
778.8538928031921	53	2.6432161	9.436291	63.0	0.0	151.0	0.0	0.017504742	0.017504742	0.017504742	0.017504742	30049	1622646	1
792.8155868053436	54	2.4422112	8.717535	60.0	0.0	151.0	0.0	0.016173583	0.016173583	0.016173583	0.016173583	30049	1652695	1
806.7097091674805	55	2.3015075	9.010298	63.0	0.0	151.0	0.0	0.015241772	0.015241772	0.015241772	0.015241772	30049	1682744	1
820.6611969470978	56	2.40201	9.071973	59.0	0.0	151.0	0.0	0.01590735	0.01590735	0.01590735	0.01590735	30049	1712793	1
834.6660149097443	57	4.6130652	12.004439	55.0	0.0	151.0	0.0	0.030550102	0.030550102	0.030550102	0.030550102	30049	1742842	1
848.632807970047	58	3.4623115	10.822801	75.0	0.0	151.0	0.0	0.022929216	0.022929216	0.022929216	0.022929216	30049	1772891	1
862.5680718421936	59	8.211055	17.172073	68.0	0.0	151.0	0.0	0.05437785	0.05437785	0.05437785	0.05437785	30049	1802940	1
876.5449900627136	60	11.60804	20.557484	77.0	0.0	151.0	0.0	0.076874435	0.076874435	0.076874435	0.076874435	30049	1832989	1
890.4933559894562	61	19.0603	23.727438	76.0	0.0	151.0	0.0	0.12622716	0.12622716	0.12622716	0.12622716	30049	1863038	1
904.3896248340607	62	27.150753	26.605955	82.0	0.0	151.0	0.0	0.17980632	0.17980632	0.17980632	0.17980632	30049	1893087	1
