Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.6787729263305664	0	8.04	4.3088746	27.0	3.0	8.04	4.308874563038474	1005	1005
2.169624090194702	1	14.764706	12.760368	69.0	3.0	14.764705882352942	12.760367926489312	1004	2009
2.544297933578491	2	25.95	15.693869	64.0	4.0	25.95	15.693868229343586	1038	3047
2.939661979675293	3	35.785713	18.182325	73.0	7.0	35.785714285714285	18.182324900174628	1002	4049
3.314646005630493	4	38.357143	25.861187	153.0	8.0	38.357142857142854	25.861187528962454	1074	5123
3.6920759677886963	5	49.714287	22.870531	91.0	14.0	49.714285714285715	22.87053179289445	1044	6167
4.061429977416992	6	45.909092	19.665173	97.0	18.0	45.90909090909091	19.665172469736003	1010	7177
4.446537017822266	7	64.1875	28.781979	123.0	14.0	64.1875	28.781979496726766	1027	8204
4.852086067199707	8	56.666668	22.14598	102.0	15.0	56.666666666666664	22.14598032249745	1020	9224
5.251189947128296	9	48.954544	21.88706	106.0	15.0	48.95454545454545	21.887059839771812	1077	10301
5.6645801067352295	10	45.04348	22.720377	102.0	10.0	45.04347826086956	22.720376338106277	1036	11337
6.050993204116821	11	67.4	28.1657	131.0	15.0	67.4	28.165700180657087	1011	12348
6.405538082122803	12	53.0	27.313	100.0	5.0	53.0	27.313000567495326	1007	13355
6.757368087768555	13	62.75	27.423758	133.0	10.0	62.75	27.423757948173332	1004	14359
7.123891830444336	14	70.26667	19.76349	106.0	21.0	70.26666666666667	19.763490469943704	1054	15413
7.484726905822754	15	69.53333	29.03071	120.0	20.0	69.53333333333333	29.030711707125306	1043	16456
7.870029926300049	16	73.92857	14.916263	95.0	43.0	73.92857142857143	14.916262868399164	1035	17491
8.237290859222412	17	93.72727	41.16285	173.0	33.0	93.72727272727273	41.16284933394743	1031	18522
8.623131036758423	18	119.55556	42.361176	210.0	61.0	119.55555555555556	42.361174863340004	1076	19598
9.00049614906311	19	112.44444	33.35037	192.0	78.0	112.44444444444444	33.35036601868481	1012	20610
9.353570938110352	20	115.0	57.954006	203.0	26.0	115.0	57.95400475089419	1035	21645
9.7064790725708	21	172.66667	79.48724	297.0	70.0	172.66666666666666	79.4872456575407	1036	22681
10.093274116516113	22	184.83333	100.08399	384.0	110.0	184.83333333333334	100.08399250407408	1109	23790
10.47170090675354	23	121.111115	67.88135	283.0	41.0	121.11111111111111	67.88134164267731	1090	24880
10.862181186676025	24	220.8	48.569126	280.0	132.0	220.8	48.569125995842256	1104	25984
11.267345190048218	25	167.71428	32.914234	223.0	125.0	167.71428571428572	32.914236111073734	1174	27158
11.834157943725586	26	137.375	41.072914	227.0	91.0	137.375	41.0729153457604	1099	28257
12.344077110290527	27	211.2	80.07347	366.0	137.0	211.2	80.07346626692265	1056	29313
12.884764194488525	28	339.33334	203.3328	625.0	168.0	339.3333333333333	203.33278688451162	1018	30331
13.566513061523438	29	301.25	11.344051	318.0	286.0	301.25	11.344051304538427	1205	31536
14.342231035232544	30	224.6	105.520805	345.0	69.0	224.6	105.52080363606031	1123	32659
14.871525049209595	31	379.33334	79.17211	451.0	269.0	379.3333333333333	79.17210507636021	1138	33797
15.580113887786865	32	514.5	153.5	668.0	361.0	514.5	153.5	1029	34826
16.167496919631958	33	362.0	170.7425	503.0	71.0	362.0	170.74249617479535	1448	36274
16.609668016433716	34	112.55556	28.35141	158.0	63.0	112.55555555555556	28.351410355320994	1013	37287
17.127952098846436	35	255.0	55.709064	307.0	162.0	255.0	55.70906568952669	1020	38307
18.128910064697266	36	578.0	298.7217	1000.0	350.0	578.0	298.72172111627015	1734	40041
18.654260873794556	37	527.3333	337.40414	917.0	94.0	527.3333333333334	337.40414276584625	1582	41623
19.06014585494995	38	405.33334	100.36046	502.0	267.0	405.3333333333333	100.36046144883065	1216	42839
19.414266109466553	39	355.66666	128.35973	508.0	194.0	355.6666666666667	128.35973754344553	1067	43906
19.898995876312256	40	218.8	49.69668	296.0	163.0	218.8	49.696679969591536	1094	45000
20.300806045532227	41	231.6	170.37675	546.0	33.0	231.6	170.37675897844753	1158	46158
20.844454050064087	42	315.5	128.62834	468.0	129.0	315.5	128.62834057858322	1262	47420
21.221081972122192	43	220.0	127.52725	389.0	84.0	220.0	127.52725198952575	1100	48520
21.688841819763184	44	235.33333	162.53377	552.0	58.0	235.33333333333334	162.53375717746212	1412	49932
22.242791175842285	45	334.0	229.93826	760.0	63.0	334.0	229.93825258099184	1670	51602
22.682421922683716	46	412.0	189.17892	675.0	238.0	412.0	189.1789276496372	1236	52838
23.089466094970703	47	567.0	433.0	1000.0	134.0	567.0	433.0	1134	53972
23.742367029190063	48	607.0	387.356	1000.0	80.0	607.0	387.3559947472953	1821	55793
24.113910913467407	49	523.0	477.0	1000.0	46.0	523.0	477.0	1046	56839
24.492265939712524	50	566.0	434.0	1000.0	132.0	566.0	434.0	1132	57971
25.13523292541504	51	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	59971
25.811197996139526	52	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	61971
26.48729109764099	53	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	63971
27.179342031478882	54	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	65971
27.808311939239502	55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	67971
28.460237979888916	56	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	69971
29.120220184326172	57	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	71971
29.78641414642334	58	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	73971
30.20542001724243	59	658.5	341.5	1000.0	317.0	658.5	341.5	1317	75288
30.84898614883423	60	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	77288
31.513824939727783	61	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	79288
32.21429395675659	62	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	81288
32.89233994483948	63	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	83288
