,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-132.04128689336585,23.098338739993444,-181.62529080725085,-104.65891173416472,,
1,0,-8.00294123190697,20.537650972490457,-35.139736542206684,40.576850835482574,,
2,1,106.80143112983701,27.048043288961768,60.091522218285505,138.41916776377704,,
3,2,150.95995675054832,33.377942266786214,89.05432355253652,194.9484431427094,,
4,3,165.6787283825352,35.43285030656957,113.46637314986009,245.33351769652154,,
5,4,220.70060822858554,25.16263159178912,178.5145506772997,264.32618589738956,,
6,5,249.79675148490247,51.506681623296416,119.88559511530934,307.60218585191706,,
7,6,242.82907002448823,32.527306010319144,178.0851268966081,302.8375012762068,,
8,7,304.2531681976121,42.63967741114992,232.77687139930808,379.4965575394253,,
9,8,303.7195325579196,59.704093821207294,219.1611910237094,445.8946851264725,,
10,9,298.23646158209675,13.77617091227313,275.27909886406553,324.9699823503585,,
11,10,321.27446537429677,32.707726212660056,263.4238662541979,369.4424856819869,,
