Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar	Seed
83.35336494445801	24	63.227764	20.600344	98.85022	9.081465	21.0	0.0	3.010846	3.010846	3.010975	3.010975	-0.640551	0.24250554	0.36882186	0.49506465	0.67743313	1008	25200	10
86.30430316925049	25	69.15308	25.235004	118.25831	-0.7206871	21.0	0.0	3.2930038	3.2930038	3.2932317	3.2932317	-0.62095964	0.32588047	0.37780654	0.3611067	0.6587403	1008	26208	10
89.23135089874268	26	73.43818	23.920622	118.14739	-1.060323	21.0	0.0	3.4970562	3.4970562	3.4972298	3.4972298	-0.6784266	0.2534671	0.30796424	0.32620773	0.70922303	1008	27216	10
92.06569910049438	27	77.80768	20.060919	118.54852	28.923033	21.0	0.0	3.7051272	3.7051272	3.7053857	3.7053857	-0.60598475	0.3271182	0.4519763	0.44440162	0.6511824	1008	28224	10
95.06581020355225	28	74.301605	23.560135	118.28199	-0.8198518	21.0	0.0	3.5381715	3.5381715	3.5383196	3.5383196	-0.65896165	0.28836924	0.35223734	0.48153758	0.6941854	1008	29232	10
98.02639985084534	29	81.25761	28.0625	128.16475	-0.8635803	21.0	0.0	3.86941	3.86941	3.8695507	3.8695507	-0.6211506	0.23007737	0.32668614	0.4573849	0.65381914	1008	30240	10
100.95200395584106	30	84.34545	20.861856	128.16232	28.942686	21.0	0.0	4.01645	4.01645	4.016555	4.016555	-0.6608923	0.21636125	0.18806162	0.23301558	0.67969847	1008	31248	10
103.81633496284485	31	82.69416	22.078535	118.24624	28.920135	21.0	0.0	3.9378173	3.9378173	3.9379525	3.9379525	-0.6565282	0.20544179	0.22794701	0.33698592	0.6793229	1008	32256	10
106.8288459777832	32	85.79269	19.159895	128.15404	39.006847	21.0	0.0	4.0853653	4.0853653	4.085541	4.085541	-0.6518146	0.32630384	0.31730342	0.3987444	0.683545	1008	33264	10
109.62744402885437	33	85.1374	20.799126	138.03809	38.336678	21.0	0.0	4.0541615	4.0541615	4.0542727	4.0542727	-0.697204	0.27357703	0.21697992	0.32268134	0.718902	1008	34272	10
112.50473380088806	34	88.03858	17.665552	118.43007	48.646523	21.0	0.0	4.1923137	4.1923137	4.1924405	4.1924405	-0.6691224	0.2427708	0.3171394	0.49090418	0.70083636	1008	35280	10
115.27507400512695	35	86.76925	19.461239	118.05751	19.107815	21.0	0.0	4.1318693	4.1318693	4.1319866	4.1319866	-0.63981915	0.21499594	0.25536212	0.42149317	0.66535544	1008	36288	10
118.05633997917175	36	89.23862	22.621872	128.24976	28.954502	21.0	0.0	4.2494574	4.2494574	4.2496133	4.2496133	-0.65512	0.25651503	0.2920829	0.41977388	0.6843283	1008	37296	10
121.27275896072388	37	89.06156	21.417393	128.18602	38.80921	21.0	0.0	4.2410274	4.2410274	4.2411404	4.2411404	-0.6912602	0.23047523	0.23212612	0.4231817	0.7144729	1008	38304	10
124.09142184257507	38	90.41821	21.335833	127.82448	38.4299	21.0	0.0	4.3056293	4.3056293	4.305728	4.305728	-0.645594	0.20993571	0.26879084	0.46514174	0.6724731	1008	39312	10
126.8398609161377	39	88.40057	19.640759	128.07501	18.843048	21.0	0.0	4.2095513	4.2095513	4.209621	4.209621	-0.6341497	0.21011506	0.2910256	0.51507086	0.66325223	1008	40320	10
129.61928915977478	40	95.56287	17.999924	127.80477	48.207233	21.0	0.0	4.550613	4.550613	4.5508275	4.5508275	-0.6282789	0.2932731	0.35123575	0.47569034	0.6634025	1008	41328	10
132.40318512916565	41	96.85132	15.652665	118.22638	48.881332	21.0	0.0	4.611968	4.611968	4.6120806	4.6120806	-0.6628413	0.2285859	0.28982884	0.5576782	0.6918242	1008	42336	10
135.34622406959534	42	99.26806	15.238002	128.14305	58.412792	21.0	0.0	4.72705	4.72705	4.7271457	4.7271457	-0.67115366	0.13498509	0.24989137	0.56246316	0.6961429	1008	43344	10
138.1096260547638	43	90.62966	18.612696	118.36798	48.438778	21.0	0.0	4.315698	4.315698	4.3158092	4.3158092	-0.6819974	0.18245566	0.16475633	0.3779996	0.6984731	1008	44352	10
140.79417896270752	44	95.190575	20.369196	128.2574	48.588768	21.0	0.0	4.5328846	4.5328846	4.532947	4.532947	-0.64728224	0.14784724	0.17740542	0.42356578	0.6650228	1008	45360	10
143.55042004585266	45	93.68677	17.433807	127.720375	38.719597	21.0	0.0	4.4612746	4.4612746	4.461301	4.461301	-0.6890729	0.10546452	0.053088088	0.19935212	0.6943818	1008	46368	10
146.29728412628174	46	94.71743	19.181576	128.04193	48.465897	21.0	0.0	4.5103536	4.5103536	4.5104165	4.5104165	-0.6777439	0.2690647	0.22553341	0.5637239	0.7002973	1008	47376	10
149.0677511692047	47	99.88797	13.874815	128.06616	68.33544	21.0	0.0	4.75657	4.75657	4.756606	4.756606	-0.6612979	0.1183175	0.10027418	0.34304106	0.6713253	1008	48384	10
151.81441402435303	48	100.32078	15.648942	118.44065	58.8453	21.0	0.0	4.77718	4.77718	4.7772207	4.7772207	-0.6682856	0.117335424	0.18599015	0.58196485	0.6868845	1008	49392	10
154.5427370071411	49	94.92902	20.235529	127.90011	48.813316	21.0	0.0	4.5204296	4.5204296	4.5204964	4.5204964	-0.6926316	0.17605545	0.13502002	0.38303497	0.7061336	1008	50400	10
157.3121042251587	50	98.24549	15.39822	127.95441	58.30442	21.0	0.0	4.6783566	4.6783566	4.678373	4.678373	-0.6764266	0.09619932	0.081515945	0.3519686	0.6845782	1008	51408	10
160.2725019454956	51	99.27743	16.698698	128.15814	58.688942	21.0	0.0	4.7274966	4.7274966	4.7275996	4.7275996	-0.6890502	0.17294952	0.14914492	0.32023242	0.70396465	1008	52416	10
163.1171371936798	52	96.31518	18.490469	128.1185	48.156944	21.0	0.0	4.5864367	4.5864367	4.5864615	4.5864615	-0.6963155	0.08021646	0.045359027	0.17006217	0.70085144	1008	53424	10
165.78413200378418	53	96.144936	19.715694	137.68063	58.440567	21.0	0.0	4.5783305	4.5783305	4.5783334	4.5783334	-0.693812	0.041487493	0.0071163136	0.041434042	0.6945237	1008	54432	10
168.48263907432556	54	101.526794	16.385277	128.2108	58.689438	21.0	0.0	4.834609	4.834609	4.834607	4.834607	-0.69391215	0.010176092	0.00040227053	0.000517513	0.69395244	1008	55440	10
171.17183995246887	55	101.93143	15.621179	138.10321	68.18448	21.0	0.0	4.8538775	4.8538775	4.853879	4.853879	-0.6931715	0.009841441	0.00040489147	0.0005987128	0.693212	1008	56448	10
173.84487009048462	56	101.10738	14.450828	128.09012	58.684464	21.0	0.0	4.814637	4.814637	4.8146324	4.8146324	-0.6966151	0.01756294	0.0012573423	0.0018938823	0.69674087	1008	57456	10
176.5937111377716	57	101.333496	18.302807	128.1376	38.19826	21.0	0.0	4.8254046	4.8254046	4.8254075	4.8254075	-0.69302773	0.007600354	0.00026907213	0.0016291373	0.6930546	1008	58464	10
