,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-156.70579565897282,45.384151829890286,-246.0661947358298,-95.93503092561369,,
1,0,-31.530641545259236,15.205947842241018,-62.802105810686385,-10.579427359466054,,
2,1,8.582087881107208,25.185905422620085,-39.77157324851048,48.55366687886426,,
3,2,61.28297101832667,22.003688962091708,19.950398390952447,95.94040312737432,,
4,3,98.66543982035716,30.517074238801676,65.8389041052148,183.1243667680627,,
5,4,75.1377628892146,35.6397758299826,-12.246374217708464,112.56237736528897,,
6,5,86.2440921304169,20.38852416163301,56.6475224198137,118.29729650253324,,
7,6,91.63381025711229,23.065441672829266,41.40256919341161,121.60960467996347,,
8,7,99.26112735073937,24.061040323882544,56.10578179026025,137.31296810730876,,
9,8,112.93468936415361,32.6791998330279,67.18715800921619,179.4003046715411,,
10,9,94.89474912515837,28.619190700911535,38.8717135636472,131.30383847041873,,
11,10,129.2849593885135,39.49940331132849,63.27725121091518,210.5535011841794,,
