Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
16.064340114593506	36	62.691772	22.22848	98.828476	-0.6895448	21.0	0.0	2.9853225	2.9853225	2.9853225	2.9853225	1008	37296
16.45070195198059	37	62.22221	26.906075	118.73877	-0.87321836	21.0	0.0	2.9629624	2.9629624	2.9629624	2.9629624	1008	38304
16.837594985961914	38	69.093285	23.643179	108.769775	-0.8538694	21.0	0.0	3.2901564	3.2901564	3.2901564	3.2901564	1008	39312
17.22211790084839	39	67.668526	19.952679	108.768974	28.940342	21.0	0.0	3.2223108	3.2223108	3.2223108	3.2223108	1008	40320
17.604588747024536	40	72.19059	22.159788	118.45179	9.234779	21.0	0.0	3.4376473	3.4376473	3.4376473	3.4376473	1008	41328
18.00373888015747	41	70.498505	24.218853	108.890274	-0.92258525	21.0	0.0	3.3570716	3.3570716	3.3570716	3.3570716	1008	42336
18.390619039535522	42	69.07322	26.26282	108.639046	-0.8682965	21.0	0.0	3.289201	3.289201	3.289201	3.289201	1008	43344
18.772756099700928	43	72.35954	24.219082	108.51563	-0.93431914	21.0	0.0	3.4456925	3.4456925	3.4456925	3.4456925	1008	44352
19.170764923095703	44	76.929375	21.27448	118.64966	28.823559	21.0	0.0	3.6633039	3.6633039	3.6633039	3.6633039	1008	45360
19.547580003738403	45	70.48402	23.418657	118.22402	18.880085	21.0	0.0	3.356382	3.356382	3.356382	3.356382	1008	46368
19.925602912902832	46	80.85268	21.473032	118.730286	-0.9875679	21.0	0.0	3.8501275	3.8501275	3.8501275	3.8501275	1008	47376
20.31248903274536	47	79.15475	23.228739	118.58409	19.107666	21.0	0.0	3.769274	3.769274	3.769274	3.769274	1008	48384
20.689327001571655	48	78.93714	21.113934	108.7301	29.156197	21.0	0.0	3.7589116	3.7589116	3.7589116	3.7589116	1008	49392
21.072093963623047	49	87.67138	13.778706	118.515465	58.750523	21.0	0.0	4.1748276	4.1748276	4.1748276	4.1748276	1008	50400
21.45171093940735	50	75.44204	22.71499	118.6064	18.885849	21.0	0.0	3.592478	3.592478	3.592478	3.592478	1008	51408
21.836949825286865	51	80.97565	25.005045	128.49054	-0.7978363	21.0	0.0	3.8559833	3.8559833	3.8559833	3.8559833	1008	52416
22.222012996673584	52	78.52217	24.581234	118.76244	19.13992	21.0	0.0	3.7391508	3.7391508	3.7391508	3.7391508	1008	53424
22.59461784362793	53	83.69717	17.77455	118.50792	48.621147	21.0	0.0	3.9855788	3.9855788	3.9855788	3.9855788	1008	54432
22.98099994659424	54	81.36301	19.63092	118.39583	18.935057	21.0	0.0	3.874429	3.874429	3.874429	3.874429	1008	55440
23.37006402015686	55	80.199646	20.791668	118.636314	29.000551	21.0	0.0	3.8190312	3.8190312	3.8190312	3.8190312	1008	56448
23.755218982696533	56	82.43879	20.756893	118.32185	28.969666	21.0	0.0	3.9256566	3.9256566	3.9256566	3.9256566	1008	57456
24.13668394088745	57	87.452675	19.486454	118.752686	38.93486	21.0	0.0	4.164413	4.164413	4.164413	4.164413	1008	58464
24.55999493598938	58	86.151344	18.211712	118.56275	48.793602	21.0	0.0	4.102445	4.102445	4.102445	4.102445	1008	59472
24.940059900283813	59	86.34238	22.342964	128.5573	28.829699	21.0	0.0	4.1115417	4.1115417	4.1115417	4.1115417	1008	60480
25.341359853744507	60	90.30591	19.816978	128.57706	29.096886	21.0	0.0	4.300281	4.300281	4.300281	4.300281	1008	61488
25.738605976104736	61	86.154625	19.504206	118.69076	38.833946	21.0	0.0	4.102601	4.102601	4.102601	4.102601	1008	62496
