,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-161.14073716694088,24.376444715558016,-186.04384790899917,-102.1163404268073,,
1,0,-63.564988309633655,22.879690192444148,-107.48187797701803,-22.300379911537505,,
2,1,8.853294538443638,27.049114626127672,-43.76267207668316,48.56855863013203,,
3,2,31.804327025628844,31.389580730607033,-40.932890791300764,76.66842901364491,,
4,3,68.46186872345129,19.92357533193663,26.42175744189627,95.53063563098533,,
5,4,72.03958132835325,33.333011992878305,7.77587604719788,123.75948702420129,,
6,5,75.7052441697003,41.21566139578162,0.5931943313652663,151.05011985888123,,
7,6,57.94453282284915,31.43841737314438,23.070734282984347,104.70550345142863,,
8,7,115.84012973367771,37.06152628947647,47.59331229605283,172.2823072052226,,
9,8,110.23657792887131,32.301744292278116,58.962970909286625,176.06915992841334,,
10,9,98.13757852792995,39.43109115860747,37.38655916992916,160.57173930095087,,
11,10,114.43754452111031,38.767602041803855,47.09975748866186,161.0138296677716,,
