Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar	Seed
20.699708938598633	0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	4.8355178e-06	4.8355178e-06	-0.6906822	0.050104327	0.0039655585	0.0018031239	0.6910788	30049	30049	1
40.19887685775757	1	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0002059414	0.0002059414	-0.6333475	0.2881152	0.36270833	0.2759196	0.66961837	30049	60098	1
57.49182081222534	2	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0006105128	0.0006105128	-0.44430608	0.37590578	0.69628024	0.28749514	0.51393414	30049	90147	1
74.72380995750427	3	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00045602655	0.00045602655	-0.56706023	0.39957276	0.61764157	0.23788007	0.62882435	30049	120196	1
92.03688883781433	4	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0007438357	0.0007438357	-0.6226036	0.4932426	0.6125102	0.22690865	0.6838547	30049	150245	1
109.60476899147034	5	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00038607328	0.00038607328	-0.5642655	0.44806936	0.6395458	0.30894208	0.6282201	30049	180294	1
127.33102703094482	6	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0003273932	0.0003273932	-0.5533238	0.39699432	0.5904011	0.2983165	0.61236393	30049	210343	1
144.87796878814697	7	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0003185755	0.0003185755	-0.5191394	0.31390482	0.56683165	0.3112174	0.5758226	30049	240392	1
162.24612307548523	8	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0003445384	0.0003445384	-0.6044631	0.35398996	0.4696412	0.29015675	0.65142727	30049	270441	1
179.78237009048462	9	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00028420938	0.00028420938	-0.64569736	0.34074992	0.47694078	0.3163561	0.6933914	30049	300490	1
