,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-169.28541559803438,30.219623161565373,-212.71035978528002,-101.55341571038468,,
1,0,12.07922900894519,22.552976047213207,-31.67898713975019,48.403838369366134,,
2,1,126.0430777803355,21.61691517058299,95.16740439637371,156.84522332240718,,
3,2,179.16005081538432,33.19812712386389,117.80262311295249,225.76649988780574,,
4,3,174.95639977535834,30.85881170476107,114.7462879628854,219.36661797523305,,
5,4,198.15523972396255,35.35892606828318,157.72747454471653,284.5780013994064,,
6,5,246.76785245724855,22.03753039742764,210.66263698518975,278.6066558715628,,
7,6,265.5218390832481,21.577446601419897,230.38660562939276,301.66515211943863,,
8,7,321.4530849369038,54.74785414964985,241.82403246584857,437.76974051983564,,
9,8,265.79002564657515,35.423060420083914,217.50145295844843,344.6966386148428,,
10,9,307.7099985855547,34.678700338567346,223.1362730747286,363.07592365104733,,
11,10,329.2648829504491,26.155783000856403,283.37120239296445,364.4129105544644,,
