,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-141.96100875947087,30.13788414453863,-197.5748493452156,-100.34729177344731,,
1,0,26.156511695521584,24.974353221850993,-14.597000051965807,58.80749348994331,,
2,1,89.41822449813692,18.70364794436968,66.32396317653158,132.69098318619484,,
3,2,131.78920244760076,35.805291718960135,61.48003225492479,179.67971796784627,,
4,3,177.5198705086649,34.986627243874274,132.32671847682485,266.75872851976817,,
5,4,269.2433401561805,44.2806076211591,191.92062060169684,351.1148211839141,,
6,5,283.5607248544983,31.021816755188823,237.30380266285735,330.2514608005942,,
7,6,263.4298153579849,33.88149923498267,216.13253267888737,312.2572640374486,,
8,7,313.41102946189307,45.12877221270418,257.4241772617864,385.7652859754389,,
9,8,258.6729109512175,39.932503919740945,185.5141711245676,312.8047007286729,,
10,9,284.4358711409221,41.411799321991765,226.36025984818716,344.03594075226374,,
11,10,356.56131510166733,47.84323878395892,277.47641536278434,421.32124611861866,,
