,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-141.64129909885744,29.794580791182323,-181.4132898251692,-73.89643993894532,,
1,0,64.06414526080219,26.175392824953416,15.969110393829688,92.08630710955681,,
2,1,131.59536487487088,23.83658499339308,88.12453294312546,163.99655935861563,,
3,2,161.99899641871232,21.027664103669416,118.91478413560301,188.55613562977624,,
4,3,257.7536735285704,40.91550545096397,173.0713444139738,319.5687311548144,,
5,4,325.0312550249667,37.88170908349167,249.47097093039034,371.6493771820974,,
6,5,305.3359600974967,34.26374308412404,243.23091884806,365.278200480306,,
7,6,392.562482978885,55.1162654105451,304.39114823943146,478.90611557776765,,
8,7,388.7902922810178,54.90857889701541,302.563182606638,501.4604796882119,,
9,8,455.35150640721133,56.8433319949498,367.41043018598833,570.3501644282051,,
10,9,441.633916224613,45.5733021094189,364.492762046705,517.4794980415966,,
11,10,386.8358971999743,32.28885724699205,334.6142225725255,435.2520748554836,,
