Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
6.128267765045166	0	-0.41354844	0.071945384	-0.2635132	-0.61326927	21.0	0.0	-0.019692782	-0.019692782	-0.01969398	-0.01969398	-0.69318044	0.028882317	0.00015770517	0.00014175533	0.6931962	1008	1008
11.041814804077148	1	-0.40485892	0.08259604	-0.29320493	-0.657525	21.0	0.0	-0.019278998	-0.019278998	-0.019282535	-0.019282535	-0.6973355	0.022249116	9.1945214e-05	2.8289822e-05	0.69734466	1008	2016
13.642389059066772	2	-0.41975427	0.07034097	-0.29812643	-0.54269356	21.0	0.0	-0.019988297	-0.019988297	-0.019989552	-0.019989552	-0.6913656	0.020088982	0.00055417354	0.0006185262	0.691421	1008	3024
16.246012926101685	3	-0.43885317	0.088562705	-0.29661232	-0.65147436	21.0	0.0	-0.02089777	-0.02089777	-0.02089705	-0.02089705	-0.6937209	0.018093776	6.367106e-05	7.575337e-05	0.69372725	1008	4032
18.877196788787842	4	-0.41270468	0.08488114	-0.26198885	-0.63242316	21.0	0.0	-0.019652603	-0.019652603	-0.01965043	-0.01965043	-0.69590235	0.016886149	9.6759904e-05	7.973864e-05	0.695912	1008	5040
21.48203182220459	5	-0.41126242	0.09350739	-0.26369813	-0.60278285	21.0	0.0	-0.019583926	-0.019583926	-0.019584192	-0.019584192	-0.6935869	0.02230113	0.00011586689	0.00016511747	0.6935985	1008	6048
24.102771043777466	6	-0.40167865	0.0788365	-0.22611272	-0.57673866	21.0	0.0	-0.019127555	-0.019127555	-0.01912587	-0.01912587	-0.6951127	0.019040972	0.00022928503	0.00028405074	0.69513565	1008	7056
26.789341926574707	7	-0.4086597	0.10207748	-0.16342455	-0.73260516	21.0	0.0	-0.019459983	-0.019459983	-0.019458598	-0.019458598	-0.6941205	0.011989199	0.00016270351	0.00016614422	0.69413686	1008	8064
29.51716113090515	8	-0.4186207	0.10660887	-0.21596487	-0.69924086	21.0	0.0	-0.019934317	-0.019934317	-0.019932985	-0.019932985	-0.692376	0.018551698	0.0008046493	0.0009342958	0.69245654	1008	9072
32.34170389175415	9	-0.44622508	0.09447257	-0.2508132	-0.684253	21.0	0.0	-0.021248817	-0.021248817	-0.02125239	-0.02125239	-0.68969905	0.019884977	0.0011564965	0.0016715425	0.6898147	1008	10080
35.07024788856506	10	-0.45362866	0.100628175	-0.17653947	-0.6628412	21.0	0.0	-0.021601364	-0.021601364	-0.021599902	-0.021599902	-0.69213146	0.03412082	0.004314882	0.005431144	0.69256294	1008	11088
37.827698945999146	11	-0.44961998	0.100305684	-0.27468902	-0.6996357	21.0	0.0	-0.021410475	-0.021410475	-0.021405406	-0.021405406	-0.6918887	0.039831467	0.004679091	0.006361635	0.6923566	1008	12096
41.39910411834717	12	0.3340393	5.684892	39.301537	-0.71056676	21.0	0.0	0.015906634	0.015906634	0.015984766	0.015984766	-0.6727757	0.18743378	0.15355946	0.1592363	0.6881317	1008	13104
44.79089117050171	13	0.32959786	3.9684808	19.389114	-0.71927345	21.0	0.0	0.01569513	0.01569513	0.015728645	0.015728645	-0.697026	0.13061689	0.088411935	0.11037562	0.7058673	1008	14112
48.04443597793579	14	2.814064	9.143527	39.209335	-0.78292745	21.0	0.0	0.13400304	0.13400304	0.1340483	0.1340483	-0.6952582	0.13488546	0.102276005	0.12834646	0.7054858	1008	15120
