,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-157.5657157762421,26.89461545263609,-209.92210352735356,-125.2227259473051,,
1,0,-0.7347470057224321,23.491611198700788,-53.37212188244319,29.534218103423225,,
2,1,106.68554578463913,38.88206523791179,37.54490143383256,149.87259893886124,,
3,2,157.60772649986285,39.183905843870726,81.96919799016221,210.42170777198578,,
4,3,180.8834053570808,51.43538749250074,120.55471897572781,310.9014874531165,,
5,4,245.63990888668724,29.935877528726355,192.00507272341258,302.9845254554491,,
6,5,257.78801214226337,45.44678020158452,192.21677713009046,343.353615315983,,
7,6,286.2789404266365,29.85384523545555,243.5834332846425,347.4371042814943,,
8,7,314.7851707142839,30.614390873684545,270.7947607854406,382.74763255501,,
9,8,312.48472823768117,27.966541127353757,269.15162081684383,357.8199232268512,,
10,9,314.7804281281659,43.27162931247987,220.19014781869032,363.71593815286633,,
11,10,306.5100443333434,54.64936597619209,241.60109714039794,415.35087667476523,,
