Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
12.735797882080078	0	-293.0804041539621	-15.09885815500331	44.91749211496865	-169.51049855229772	-438.79819149670374	20.0	0.0	252	10080	-295.883961316968	-14.981533373787675
24.083953857421875	1	-292.71340348683583	-14.974325678420493	48.92237951774656	-145.38533343567948	-426.2653091315143	20.0	0.0	252	20160	-272.84082463442604	-13.820683202653404
35.488385915756226	2	-293.37408175760623	-15.26745748049488	46.957524106292986	-160.11840135665327	-431.05269850549445	20.0	0.0	252	30240	-296.2128169793165	-15.290309557726566
45.811134815216064	3	-288.3579211336302	-14.740882931267658	49.95127531898372	-158.7199775387564	-442.0830954300941	20.0	0.0	252	40320	-280.268242267217	-14.104521448035962
56.853861808776855	4	-284.8231986216694	-14.46902551828383	50.68802942014424	-101.10740628559648	-443.9533697960295	20.0	0.0	252	50400	-284.2803596044141	-14.768483068860553
67.31417393684387	5	-283.7606712558355	-14.208127784145512	49.95171629940925	-129.65315299364147	-444.8850662727471	20.0	0.0	252	60480	-275.9903845107979	-13.251766474153323
77.745609998703	6	-282.0549428921089	-14.022129266459405	49.56660497185509	-121.15011927850166	-429.53519368523274	20.0	0.0	252	70560	-275.52133265935737	-13.490570020892344
88.59141278266907	7	-277.4268837035609	-13.769830926206177	49.27225110076417	-122.28218772689056	-399.7117663041958	20.0	0.0	252	80640	-273.77525844159953	-14.075754042139677
99.05563592910767	8	-274.4520636988786	-13.318334901151909	45.9060228816599	-107.08327749817217	-416.69068207038504	20.0	0.0	252	90720	-260.72585565505966	-12.449180039851969
109.50385189056396	9	-264.2665003868713	-12.553333899031035	49.0128637831782	-137.10235057282904	-426.51574228966984	20.0	0.0	252	100800	-262.2379792434809	-12.69371573710346
120.01092290878296	10	-258.6656653528559	-11.925208992460858	46.794381570774306	-132.65357259996378	-383.7453707390413	20.0	0.0	252	110880	-247.30915676636823	-11.011382215632949
130.39335083961487	11	-249.4238792579388	-11.337252881827984	49.477045726283094	-109.20944442778084	-374.64192808051007	20.0	0.0	252	120960	-235.43150775785537	-10.487133550797408
141.13316869735718	12	-244.85422778233794	-10.704188496216647	48.345356084359516	-127.90827139774603	-431.05061101129206	20.0	0.0	252	131040	-236.87033445056844	-10.266781214359677
152.58343482017517	13	-236.14709578419718	-10.153037752681463	47.75777383094505	-108.49281263097762	-383.7775596137504	20.0	0.0	252	141120	-227.59056571887152	-9.266355957742062
163.34243297576904	14	-228.58507588395435	-9.390236638905703	48.375994878899505	-114.67250801943881	-390.24302139036524	20.0	0.0	252	151200	-210.93928967983553	-8.297727898392077
174.01220989227295	15	-213.89627741281845	-8.374313992902213	45.97260186232898	-109.17677703728965	-372.80345122183303	20.0	0.0	252	161280	-199.624363049678	-7.392188004218291
184.47618293762207	16	-202.90332685361878	-7.500675033341675	45.416405621439544	-91.47026378861003	-402.87303213369785	20.0	0.0	252	171360	-188.7567291612686	-6.458317595607291
194.9314877986908	17	-193.14532793340143	-7.150355097231138	43.96733625768554	-95.87320381285781	-351.5100119262441	20.0	0.0	252	181440	-184.52069218812508	-6.560646829893912
205.5141339302063	18	-179.79420865738166	-6.18629556587342	37.08437877683547	-94.32835007070071	-305.9026688015145	20.0	0.0	252	191520	-174.20962613817684	-5.980703110886054
216.00336980819702	19	-176.9894153568802	-6.062276531459164	36.29976470097522	-97.1118968411195	-339.8291784271577	20.0	0.0	252	201600	-170.76860955316783	-5.281385062464325
239.00146198272705	20	-167.88024794202994	-5.492217392492259	35.56804363708547	-89.32386216112185	-301.60689461197745	20.0	0.0	252	211680	-154.3807314703606	-5.226935142364909
