,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-142.36429722175382,28.328878099710828,-211.9531690782036,-110.82733491888209,,
1,0,48.690456339162765,24.496046735411436,2.0425979690700746,75.09263975328392,,
2,1,146.63169193750429,21.90225270361775,110.53361735997582,175.72072582942758,,
3,2,203.4637756606921,41.22946653585887,117.26256068487332,266.61776872288,,
4,3,247.71328353548506,34.97990265936586,193.22204014519127,312.7460035948626,,
5,4,287.547425769094,29.97004016788908,250.33562533355405,348.0555843525515,,
6,5,261.7351223293854,42.054283058021824,195.42831790781884,328.35913910113186,,
7,6,382.59249156759205,27.179281088579888,346.9398377308635,436.93099672834967,,
8,7,336.24931878835014,44.82627315624213,274.3939112345072,396.8647974391129,,
9,8,361.69057061197117,26.584109569406124,314.5206152290888,422.6380373855228,,
10,9,411.333097885133,41.32973360956522,354.2378551880478,518.7238723185386,,
11,10,426.5887951815065,44.46177571574364,323.0101591079489,493.0654640748341,,
